url,rating
https://food-cms.grab.com/Merchants/4-C4EUGETXN6CHAA/photoexhibition/c38a6c1d4a714eadbe46993e1253c6b4_1740449533829035278.jpeg,good
https://food-cms.grab.com/Merchants/4-C3XGLBEGPAUTR2/photoexhibition/8a23c667c49f42d09056b2e1782b0e13_1735287017857527655.jpeg,bad
https://food-cms.grab.com/Merchants/4-C2L3LP6UJUDHGX/photoexhibition/79e1032eb2c84936a88f589f551beb04_1732764635227710819.jpg,good
https://food-cms.grab.com/Merchants/SGDD01669/photoexhibition/424b525f3c7d4f328ed6de49b2f4ae77_1733298546539452053.jpg,neutral
https://food-cms.grab.com/Merchants/4-C6NXL63KETT1GN/photoexhibition/d538e5b6be974ebbaa395e6a87ac44b3_1734672155185208980.jpeg,good
https://food-cms.grab.com/Merchants/4-C623GNNGCB5CTN/photoexhibition/4b90398d97aa49569c6ee5e6e607e372_1743590810227085277.jpeg,neutral
https://food-cms.grab.com/Merchants/4-C3XVMCDKLCJTLT/photoexhibition/8e9164c468be4e24a11c568b4ae10633_1733200031929682029.jpg,good
https://food-cms.grab.com/Merchants/4-C62JTAUTCLBYMA/photoexhibition/4782c2d95cd5451eac0d3f975b3151d7_1734930390308542948.jpeg,good
https://food-cms.grab.com/Merchants/4-C62KTCMVJA6TRA/photoexhibition/648fca5942cf47d2b9e0a096bd1dd72f_1734598957635771643.jpeg,neutral
https://food-cms.grab.com/Merchants/4-C2L3LP6UJUDHGX/photoexhibition/4e5e4959b0ea4b5abea64273e14b631c_1732764635386106061.jpg,good
https://food-cms.grab.com/Merchants/SGDD01818/photoexhibition/9bdea0743f6d480aa0537a170ed55be5_1733736796930770157.jpg,neutral
https://food-cms.grab.com/Merchants/4-CZDDNLBEBFJUG2/photoexhibition/6dcea9fcacb5472991c607e62821cdc6_1732854922136822483.jpg,good
https://food-cms.grab.com/Merchants/4-CY6KRKEDVBTWTN/photoexhibition/e83e536847e940029c16b969f9f3e1de_1741317296751952717.png,neutral
https://food-cms.grab.com/Merchants/4-CZEYEAJGET32NA/photoexhibition/31864d559f9e4dbdbd76a3edab8d5984_1740472501601860623.png,neutral
https://food-cms.grab.com/Merchants/4-C2KBKBNXJ3LVJE/photoexhibition/38242aeed1a14fea8d6d60e35c59029a_1733280632485295160.jpg,good
https://food-cms.grab.com/Merchants/4-CYNKN8BEVKAXG6/photoexhibition/be8ec919315b4bd981eb63ae0dfb532b_1728896951056212285.jpeg,neutral
https://food-cms.grab.com/Merchants/4-C2NUJ4CFAJK2R2/photoexhibition/c6d9c3eda90f41e2ba051ae645666bff_1734505744600243061.jpeg,neutral
https://food-cms.grab.com/Merchants/4-CZDVVZKBRTVTBE/photoexhibition/93fac26e77ac4b1fb271e9611b9cf128_1732703287320462011.jpeg,good
https://food-cms.grab.com/Merchants/4-C6TFTZDUA2MTJE/photoexhibition/a115dbf00bbe4db1b1fd6935cd2009e8_1720592080052373181.jpeg,neutral
https://food-cms.grab.com/Merchants/4-C2WYLLN1V2WWVX/photoexhibition/b1b2a5a3e50b4635a0858e38f386c7d1_1728898245028205645.jpeg,good
https://food-cms.grab.com/Merchants/4-C661RTAHV4CZTJ/photoexhibition/27604b2dc0f74d5db1d52c12c74d74d6_1739777342641627598.jpeg,neutral
https://food-cms.grab.com/Merchants/4-C6DFCX6BSCMUNN/photoexhibition/f6807bdeb9eb4760b2e52793f7dca55f_1735296401451573805.png,neutral
https://food-cms.grab.com/Merchants/4-C6BKNA42AXEGJX/photoexhibition/bf4bfb62541d441a9fb05f2622bc51ec_1742454522437920028.jpeg,neutral
https://food-cms.grab.com/Merchants/4-C6TZEUUGRJ5VHA/photoexhibition/3e8dc0cee78c4e7d8c5a62b82ad26ca8_1734512993945231813.jpeg,good
https://food-cms.grab.com/Merchants/4-C6MZJEJTLXKUGJ/photoexhibition/16bd1c7831364c3db8ed1b2349509af9_1734337449289798180.jpeg,good
https://food-cms.grab.com/Merchants/4-C62HC2XZL8B2T2/photoexhibition/8ab139363dc24f8cb88972c1b77835cc_1730773481284878728.jpeg,good
https://food-cms.grab.com/Merchants/4-C6WFJJEJCTX3RJ/photoexhibition/411dc2c8453546e783f2a06ea7b0b7d9_1740473139796917846.jpeg,bad
https://food-cms.grab.com/Merchants/4-C4LEBB41JANWSE/photoexhibition/32b971cfe524488da9bd378cf228f674_1735293380059772015.jpeg,bad
https://food-cms.grab.com/Merchants/SGDD09746/photoexhibition/58fcec13bcdf4537937ce163ada1834f_1733214776353013261.jpg,bad
https://food-cms.grab.com/Merchants/4-C6W3LJWTRY2EJ2/photoexhibition/b83ae3e7151645548117d3487bbae84d_1728010035792300772.jpeg,neutral
https://food-cms.grab.com/Merchants/4-C3T1LEJBNA2XFE/photoexhibition/17aa182608f64dc2a45c50c0cf24625f_1734673821602676302.jpeg,neutral
https://food-cms.grab.com/Merchants/4-C3NCVXDBMEWBRJ/photoexhibition/808dc5ae0b0142dd92f958028ab61df7_1732697659887146349.jpg,neutral
https://food-cms.grab.com/Merchants/4-C2UUJLMASAAEL2/photoexhibition/81d498c7148b424d9abb8e11d6da7a54_1732697664683924662.jpg,good
https://food-cms.grab.com/Merchants/4-C66YGUMZUAC2A2/photoexhibition/b6bff33672394bfdb8312a48948b550a_1739845091950576005.jpeg,neutral
https://food-cms.grab.com/Merchants/4-C6WXE75GDEB2WA/photoexhibition/b99e79f997e144ffb7dfd2184629a68c_1727428569086971718.jpeg,neutral
https://food-cms.grab.com/Merchants/4-C6VJHE3XNTU3NA/photoexhibition/8f053d203f734c71808cb3f72366f056_1724841492722782431.jpeg,neutral
https://food-cms.grab.com/Merchants/4-C2AZCTBZGB22HA/photoexhibition/3726f7fe330f40a085031521859a2d08_1732854922296832286.jpg,good
https://food-cms.grab.com/Merchants/SGDD08720/photoexhibition/a5859c3467084167b10bffd1a4e324d4_1733285980208676654.jpg,neutral
https://food-cms.grab.com/Merchants/4-C3VFGYWXEK4YJX/photoexhibition/d5b1e3773a8049bea1d973fffe7c8972_1733453622676400656.jpg,good
