image1_url,image2_url,result
https://food-cms.grab.com/Merchants/4-C24HVP3DJ6UBCJ/photoexhibition/a72bf702b04041948f5d4ead5de2f99b_1723114711458611716.jpeg,https://food-cms.grab.com/Merchants/4-CYUFCABJVE3DCX/photoexhibition/c34344edd2e64dea9529244478e90bc6_1733369474179241559.jpg,2.0
https://food-cms.grab.com/Merchants/4-C2DTPCCDNXVTVA/photoexhibition/7129644cd17340669a707c44a9fb41a1_1733471850523571667.jpg,https://food-cms.grab.com/Merchants/4-C6W3LX33PBWTKA/photoexhibition/ad64e6b7bd3a4f7d86fc73a96d85421a_1734577818504383686.jpeg,1.0
https://d1sag4ddilekf6.cloudfront.net/Merchants/1-C4K2AFJJLNE2PA/photoexhibition/f341255a2e4a4867b951fb6e1a93db4b_1693904136023257834.jpeg,https://food-cms.grab.com/Merchants/SGDD07632/photoexhibition/c7a8b92c09c2423caebbf7b7a735266c_1736151141659338471.jpeg,2.0
https://food-cms.grab.com/Merchants/1-C64HN4LDEYTYEN/photoexhibition/ff54a1038cac4b7582c1fe1883f925c5_1734859685742614293.jpeg,https://food-cms.grab.com/Merchants/4-C6MZNUJKN7XETE/photoexhibition/6ad6580362f94ad495711ee348503446_1717726947613205489.jpeg,1.0
https://food-cms.grab.com/Merchants/1-C6W2L2VJERETEX/photoexhibition/1926941727a24fcba1db9e112c3bcc2d_1727927721629273743.jpeg,https://food-cms.grab.com/Merchants/4-CZLKL4CAJAE1RN/photoexhibition/bf6e29f2fcd446c3bb5ca1ad8eb04011_1732854715619260484.jpg,2.0
https://food-cms.grab.com/Merchants/1-C62WT3KALJK1KA/photoexhibition/a056b4efbf7848f781445549a821b522_1731390649634142122.jpeg,https://food-cms.grab.com/Merchants/4-C6LDNNWVJUX1RT/photoexhibition/6350c857735c41629d9bf1d9d6c47fcc_1732866503630082366.jpg,2.0
https://d1sag4ddilekf6.cloudfront.net/Merchants/1-C6AHCCJDHEWGTE/photoexhibition/9f0abffd42664e2786ac26d50952cd4f_1700715463978970466.jpeg,https://food-cms.grab.com/Merchants/4-C6TBLJJ1RNA2PE/photoexhibition/575bf01fc5644e6b83c3f3e8eec67224_1734682763751930148.jpeg,2.0
https://d1sag4ddilekf6.cloudfront.net/Merchants/1-C4LUC32GJPNJLN/photoexhibition/618e11a2e9f74781afe91a3aaeac88fe_1695191332283660089.jpeg,https://food-cms.grab.com/Merchants/4-C6ETT7CWRE6VTT/photoexhibition/15f5c52712f246d99aa527e5d1666f17_1733726634157247611.jpg,1.0
https://food-cms.grab.com/Merchants/1-C64BNE6TKBBAA6/photoexhibition/54481a38ad214593bec8aadcde8cbadb_1734234608398763815.jpeg,https://food-cms.grab.com/Merchants/4-C2XHJUMHCY6XNA/photoexhibition/5bbcbad5111d4fb88d538fe5123f23f7_1744177092852217338.jpeg,2.0
https://d1sag4ddilekf6.cloudfront.net/Merchants/1-C4MTV8EWET6ATT/photoexhibition/2434a5b11f844bb2891bc8a02d1a1b16_1697247610658095833.jpeg,https://food-cms.grab.com/Merchants/4-C6UDGAK2NELEGT/photoexhibition/46cea9ad26e9478aa7ade4ae4bd47e99_1733898798977504588.jpeg,2.0
